run_id,tool_group,tool_id,state,state_change_time,setup_name,lot_id,reason,idle_units,run_units,setup_units,down_pm_units,down_bm_units
b13f935270b7,DE_BE_11,,IDLE,26820.0,,,INIT,11,0,0,0,0
b13f935270b7,DE_BE_12,,IDLE,26820.0,,,INIT,10,0,0,0,0
b13f935270b7,DE_BE_13,,IDLE,26820.0,,,INIT,23,0,0,0,0
b13f935270b7,DE_BE_48,,IDLE,26820.0,,,INIT,12,0,0,0,0
b13f935270b7,DE_BE_50,,IDLE,26820.0,,,INIT,9,0,0,0,0
b13f935270b7,DE_BE_65,,IDLE,26820.0,,,INIT,18,0,0,0,0
b13f935270b7,DE_BE_66,,IDLE,26820.0,,,INIT,22,0,0,0,0
b13f935270b7,DE_BE_67,,IDLE,26820.0,,,INIT,12,0,0,0,0
b13f935270b7,DE_BE_69,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,DE_FE_1,,IDLE,26820.0,,,INIT,8,0,0,0,0
b13f935270b7,DE_FE_51,,IDLE,26820.0,,,INIT,22,0,0,0,0
b13f935270b7,DE_FE_53,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,DE_FE_54,,IDLE,26820.0,,,INIT,6,0,0,0,0
b13f935270b7,DE_FE_56,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,DE_FE_58,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,DE_FE_59,,IDLE,26820.0,,,INIT,17,0,0,0,0
b13f935270b7,DE_FE_62,,IDLE,26820.0,,,INIT,17,0,0,0,0
b13f935270b7,DE_FE_70,,IDLE,26820.0,,,INIT,15,0,0,0,0
b13f935270b7,DE_FE_71,,IDLE,26820.0,,,INIT,31,0,0,0,0
b13f935270b7,DE_FE_72,,IDLE,26820.0,,,INIT,11,0,0,0,0
b13f935270b7,DE_FE_86,,IDLE,26820.0,,,INIT,150,0,0,0,0
b13f935270b7,DefMet_BE_33,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,DefMet_BE_42,,IDLE,26820.0,,,INIT,1,0,0,0,0
b13f935270b7,DefMet_FE_10,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,DefMet_FE_106,,IDLE,26820.0,,,INIT,1,0,0,0,0
b13f935270b7,DefMEt_FE_118,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,DefMet_FE_34,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,DefMet_FE_43,,IDLE,26820.0,,,INIT,6,0,0,0,0
b13f935270b7,Delay_32,,IDLE,26820.0,,,INIT,400,0,0,0,0
b13f935270b7,Dielectric_BE_20,,IDLE,26820.0,,,INIT,6,0,0,0,0
b13f935270b7,Dielectric_BE_21,,IDLE,26820.0,,,INIT,9,0,0,0,0
b13f935270b7,Dielectric_BE_27,,IDLE,26820.0,,,INIT,17,0,0,0,0
b13f935270b7,Dielectric_BE_28,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,Dielectric_BE_60,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,Dielectric_FE_112,,IDLE,26820.0,,,INIT,12,0,0,0,0
b13f935270b7,Dielectric_FE_130,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,Dielectric_FE_29,,IDLE,26820.0,,,INIT,4,0,0,0,0
b13f935270b7,Dielectric_FE_30,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,Dielectric_FE_31,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,Diffusion_BE_123,,IDLE,26820.0,,,INIT,12,0,0,0,0
b13f935270b7,Diffusion_FE_100,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,Diffusion_FE_101,,IDLE,26820.0,,,INIT,8,0,0,0,0
b13f935270b7,Diffusion_FE_120,,IDLE,26820.0,,,INIT,11,0,0,0,0
b13f935270b7,Diffusion_FE_122,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,Diffusion_FE_125,,IDLE,26820.0,,,INIT,4,0,0,0,0
b13f935270b7,Diffusion_FE_126,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,Diffusion_FE_127,,IDLE,26820.0,,,INIT,9,0,0,0,0
b13f935270b7,Diffusion_FE_44,,IDLE,26820.0,,,INIT,11,0,0,0,0
b13f935270b7,Diffusion_FE_94,,IDLE,26820.0,,,INIT,11,0,0,0,0
b13f935270b7,EPI_36,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,EPI_38,,IDLE,26820.0,,,INIT,1,0,0,0,0
b13f935270b7,Implant_119,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,Implant_128,,IDLE,26820.0,,,INIT,11,0,0,0,0
b13f935270b7,Implant_132,,IDLE,26820.0,,,INIT,8,0,0,0,0
b13f935270b7,Implant_74,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,Implant_88,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,Implant_90,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,Implant_91,,IDLE,26820.0,,,INIT,6,0,0,0,0
b13f935270b7,Litho_BE_110,,IDLE,26820.0,,,INIT,29,0,0,0,0
b13f935270b7,Litho_BE_93,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,Litho_BE_99,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,Litho_FE_111,,IDLE,26820.0,,,INIT,23,0,0,0,0
b13f935270b7,Litho_FE_35,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,Litho_FE_92,,IDLE,26820.0,,,INIT,34,0,0,0,0
b13f935270b7,Litho_FE_98,,IDLE,26820.0,,,INIT,6,0,0,0,0
b13f935270b7,Litho_REG_BE_63,,IDLE,26820.0,,,INIT,9,0,0,0,0
b13f935270b7,Litho_REG_FE_64,,IDLE,26820.0,,,INIT,15,0,0,0,0
b13f935270b7,LithoMet_BE_18,,IDLE,26820.0,,,INIT,15,0,0,0,0
b13f935270b7,LithoMet_FE_19,,IDLE,26820.0,,,INIT,20,0,0,0,0
b13f935270b7,LithoTrack_BE_117,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,LithoTrack_FE_115,,IDLE,26820.0,,,INIT,54,0,0,0,0
b13f935270b7,LithoTrack_FE_95,,IDLE,26820.0,,,INIT,53,0,0,0,0
b13f935270b7,LithoTrack_FE_96,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,Planar_BE_75,,IDLE,26820.0,,,INIT,22,0,0,0,0
b13f935270b7,Planar_FE_76,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,Planar_FE_77,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,Planar_FE_78,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,Planar_FE_79,,IDLE,26820.0,,,INIT,6,0,0,0,0
b13f935270b7,Planar_FE_80,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,TF_BE_2,,IDLE,26820.0,,,INIT,4,0,0,0,0
b13f935270b7,TF_BE_23,,IDLE,26820.0,,,INIT,21,0,0,0,0
b13f935270b7,TF_BE_24,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,TF_BE_26,,IDLE,26820.0,,,INIT,16,0,0,0,0
b13f935270b7,TF_BE_40,,IDLE,26820.0,,,INIT,26,0,0,0,0
b13f935270b7,TF_FE_103,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,TF_FE_104,,IDLE,26820.0,,,INIT,6,0,0,0,0
b13f935270b7,TF_FE_113,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,TF_FE_131,,IDLE,26820.0,,,INIT,7,0,0,0,0
b13f935270b7,TF_FE_3,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,TF_FE_5,,IDLE,26820.0,,,INIT,4,0,0,0,0
b13f935270b7,TF_Met_FE_45,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,TF_Met_FE_61,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,WE_BE_14,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,WE_BE_16,,IDLE,26820.0,,,INIT,9,0,0,0,0
b13f935270b7,WE_BE_17,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,WE_BE_7,,IDLE,26820.0,,,INIT,1,0,0,0,0
b13f935270b7,WE_BE_81,,IDLE,26820.0,,,INIT,3,0,0,0,0
b13f935270b7,WE_BE_82,,IDLE,26820.0,,,INIT,10,0,0,0,0
b13f935270b7,WE_BE_9,,IDLE,26820.0,,,INIT,7,0,0,0,0
b13f935270b7,WE_FE_108,,IDLE,26820.0,,,INIT,36,0,0,0,0
b13f935270b7,WE_FE_41,,IDLE,26820.0,,,INIT,5,0,0,0,0
b13f935270b7,WE_FE_47,,IDLE,26820.0,,,INIT,6,0,0,0,0
b13f935270b7,WE_FE_8,,IDLE,26820.0,,,INIT,2,0,0,0,0
b13f935270b7,WE_FE_83,,IDLE,26820.0,,,INIT,7,0,0,0,0
b13f935270b7,WE_FE_84,,IDLE,26820.0,,,INIT,19,0,0,0,0
